Distances from center of each square to grid center (50.0, 30.0):
Distance at (4, 19): 47.9009
Distance at (4, 20): 47.6707
Distance at (4, 21): 47.4605
Distance at (4, 22): 47.2705
Distance at (4, 23): 47.1010
Distance at (4, 24): 46.9521
Distance at (4, 25): 46.8241
Distance at (4, 26): 46.7172
Distance at (4, 27): 46.6315
Distance at (4, 28): 46.5672
Distance at (4, 29): 46.5242
Distance at (4, 30): 46.5027
Distance at (4, 31): 46.5027
Distance at (4, 32): 46.5242
Distance at (4, 33): 46.5672
Distance at (4, 34): 46.6315
Distance at (4, 35): 46.7172
Distance at (4, 36): 46.8241
Distance at (4, 37): 46.9521
Distance at (4, 38): 47.1010
Distance at (4, 39): 47.2705
Distance at (4, 40): 47.4605
Distance at (4, 41): 47.6707
Distance at (4, 42): 47.9009
Distance at (4, 43): 48.1508
Distance at (4, 44): 48.4200
Distance at (4, 45): 48.7083
Distance at (4, 46): 49.0153
Distance at (4, 47): 49.3407
Distance at (4, 48): 49.6840
Distance at (4, 49): 50.0450
Distance at (4, 50): 50.4232
Distance at (4, 51): 50.8183
Distance at (4, 52): 51.2299
Distance at (4, 53): 51.6575
Distance at (4, 54): 52.1009
Distance at (4, 55): 52.5595
Distance at (4, 56): 53.0330
Distance at (4, 57): 53.5210
Distance at (4, 58): 54.0231
Distance at (4, 59): 54.5390
Distance at (4, 60): 55.0681
Distance at (5, 1): 54.2264
Distance at (5, 2): 53.6889
Distance at (5, 3): 53.1648
Distance at (5, 4): 52.6545
Distance at (5, 5): 52.1584
Distance at (5, 6): 51.6769
Distance at (5, 7): 51.2104
Distance at (5, 8): 50.7592
Distance at (5, 9): 50.3240
Distance at (5, 10): 49.9049
Distance at (5, 11): 49.5025
Distance at (5, 12): 49.1172
Distance at (5, 13): 48.7494
Distance at (5, 14): 48.3994
Distance at (5, 15): 48.0677
Distance at (5, 16): 47.7546
Distance at (5, 17): 47.4605
Distance at (5, 18): 47.1858
Distance at (5, 19): 46.9308
Distance at (5, 20): 46.6958
Distance at (5, 21): 46.4812
Distance at (5, 22): 46.2871
Distance at (5, 23): 46.1140
Distance at (5, 24): 45.9619
Distance at (5, 25): 45.8312
Distance at (5, 26): 45.7220
Distance at (5, 27): 45.6344
Distance at (5, 28): 45.5686
Distance at (5, 29): 45.5247
Distance at (5, 30): 45.5027
Distance at (5, 31): 45.5027
Distance at (5, 32): 45.5247
Distance at (5, 33): 45.5686
Distance at (5, 34): 45.6344
Distance at (5, 35): 45.7220
Distance at (5, 36): 45.8312
Distance at (5, 37): 45.9619
Distance at (5, 38): 46.1140
Distance at (5, 39): 46.2871
Distance at (5, 40): 46.4812
Distance at (5, 41): 46.6958
Distance at (5, 42): 46.9308
Distance at (5, 43): 47.1858
Distance at (5, 44): 47.4605
Distance at (5, 45): 47.7546
Distance at (5, 46): 48.0677
Distance at (5, 47): 48.3994
Distance at (5, 48): 48.7494
Distance at (5, 49): 49.1172
Distance at (5, 50): 49.5025
Distance at (5, 51): 49.9049
Distance at (5, 52): 50.3240
Distance at (5, 53): 50.7592
Distance at (5, 54): 51.2104
Distance at (5, 55): 51.6769
Distance at (5, 56): 52.1584
Distance at (5, 57): 52.6545
Distance at (5, 58): 53.1648
Distance at (5, 59): 53.6889
Distance at (5, 60): 54.2264
Distance at (6, 1): 53.3901
Distance at (6, 2): 52.8441
Distance at (6, 3): 52.3116
Distance at (6, 4): 51.7929
Distance at (6, 5): 51.2884
Distance at (6, 6): 50.7986
Distance at (6, 7): 50.3240
Distance at (6, 8): 49.8648
Distance at (6, 9): 49.4217
Distance at (6, 10): 48.9949
Distance at (6, 11): 48.5850
Distance at (6, 12): 48.1923
